_id,tahun_data,kabupaten,kecamatan,desa,titik
245,2023,Sragen,Sambungmacan,Banaran,1
246,2023,Sragen,Tanon,Suwatu,1
247,2023,Sragen,Tanon,Pengkol,1
248,2023,Sragen,Tangen,Ngrombo,1
249,2023,Sragen,Mondokan,Pare,1
250,2023,Sragen,Gondang,Bumiaji,1
251,2023,Sragen,Sambirejo,Kadipiro,1
252,2023,Tegal,Bumijawa,Gunung Agung,1
253,2023,Tegal,Bumijawa,Sumbaga,1
254,2023,Tegal,Jatinegara,Argatawang,1
255,2023,Tegal,Jatinegara,Dukuhbangsa,1
256,2023,Tegal,Kedungbanteng,Sumingkir,1
257,2023,Tegal,Bumijawa,Dukuhbenda,1
258,2023,Tegal,Jatinegara,Gantungan,1
259,2023,Tegal,Suradadi,Kertasari,1
260,2023,Tegal,Margasari,Wanasari,1
261,2023,Tegal,Pangkah,Pener,1
262,2023,Tegal,Suradadi,Jatibogor,1
263,2023,Tegal,Pangkah,Bedug,1
264,2023,Temanggung,Pringsurat,Wonokerso,1
265,2023,Temanggung,Parakan,Sunggingsari,1
266,2023,Temanggung,Bansari,Tanurejo,1
267,2023,Temanggung,Bansari,Mojosari,1
268,2023,Temanggung,Bansari,Rejosari,1
269,2023,Temanggung,Kaloran,Gentan,1
270,2023,Temanggung,Parakan,Campursalam,1
271,2023,Temanggung,Tlogomulyo,Tlilir,1
272,2023,Temanggung,Parakan,Traji,1
273,2023,Temanggung,Ngadirejo,Kataan,1
274,2023,Wonogiri,Wuryantoro,Pulutan Kulon,1
275,2023,Wonogiri,Manyaran,Kepuh Sari,1
276,2023,Wonogiri,Jatiroto,Guno,1
277,2023,Wonogiri,Jatiroto,Dawungan,1
278,2023,Wonogiri,Tirtomoyo,Tirtomoyo,1
279,2023,Wonogiri,Manyaran,Pagutan,1
280,2023,Wonogiri,Ngadirojo,Ngabeyan,1
281,2023,Wonogiri,Ngadirojo,Mojoreno,1
282,2023,Wonogiri,Ngadirojo,Mlokomanis Wetan,1
283,2023,Wonogiri,Ngadirojo,Kerjokidul,1
284,2023,Wonosobo,Wadaslintang,Tirip,1
285,2023,Wonosobo,Kalibawang,Tempurejo,1
286,2023,Wonosobo,Kalikajar,Butuh,1
287,2023,Wonosobo,Kepil,Pulosaren,1
288,2023,Wonosobo,Selomerto,Candi,1
289,2023,Wonosobo,Sukoharjo,Sukoharjo,1
290,2023,Wonosobo,Wadaslintang,Wadaslintang,1
291,2023,Wonosobo,Wadaslintang,Trimulyo,1
292,2023,Wonosobo,Kepil,Gadingsukuh,1
293,2023,Wonosobo,Mojotengah,Slukatan,1
294,2023,Wonosobo,Kepil,Ropoh,1
295,2023,Wonosobo,Mojotengah,Kebrengan,1
296,2023,Wonosobo,Garung,Menjer,1
297,2023,Wonosobo,Mojotengah,Blederan,1
298,2023,Wonosobo,Sapuran,Banyumudal,1
299,2023,Wonosobo,Sapuran,Tempursari,1
300,2023,Wonosobo,Sapuran,Batursari,1
